Review,FACILITIES#CLEANLINESS,FACILITIES#COMFORT,FACILITIES#DESIGN&FEATURES,FACILITIES#GENERAL,FACILITIES#MISCELLANEOUS,FACILITIES#PRICES,FACILITIES#QUALITY,FOOD&DRINKS#MISCELLANEOUS,FOOD&DRINKS#PRICES,FOOD&DRINKS#QUALITY,FOOD&DRINKS#STYLE&OPTIONS,HOTEL#CLEANLINESS,HOTEL#COMFORT,HOTEL#DESIGN&FEATURES,HOTEL#GENERAL,HOTEL#MISCELLANEOUS,HOTEL#PRICES,HOTEL#QUALITY,LOCATION#GENERAL,ROOM_AMENITIES#CLEANLINESS,ROOM_AMENITIES#COMFORT,ROOM_AMENITIES#DESIGN&FEATURES,ROOM_AMENITIES#GENERAL,ROOM_AMENITIES#MISCELLANEOUS,ROOM_AMENITIES#PRICES,ROOM_AMENITIES#QUALITY,ROOMS#CLEANLINESS,ROOMS#COMFORT,ROOMS#DESIGN&FEATURES,ROOMS#GENERAL,ROOMS#MISCELLANEOUS,ROOMS#PRICES,ROOMS#QUALITY,SERVICE#GENERAL
Hội_An Trails_Resort Spa là một địa_điểm khá lý_tưởng cho một chuyến du_lịch nghĩ dưỡng cùng gia_đinh Phòng_ốc đẹp tiện_nghi và tương_đối sạch_sẽ cảnh_quan trong resort xanh và đẹp có bể_bơi Dịch_vụ Spa giá rẻ tuy_nhiên chất_lượng cũng bình_thường và không đa_dạng Ăn sáng cũng khá ngon bà cà_phê ngon bổ rẻ nhưng nghỉ hơi sớm đặc_điểm chung ở Hội_An khoảng 9h 10 h tối là đã dừng phục_vụ Resort hoi xa biển đi ô_tô ra biển mất khoảng 3 phút Có xe khách_sạn đưa khách ra b atildei biển cũng như về trung_tâm Hội_An theo giờ Tóm_lại với giá_cả như_vậy thì đây là một resort tốt,0,0,0,1,0,1,3,2,1,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Phòng khách_sạn đẹp rộng r atildei nhiều dịch_vụ cho du_khách có xe đưa đi và về Hội_An biển cửa đại Nhân_viên phục_vụ tận_tình chu_đáo Dịch_vụ Chudu24 rất thuận_tiện chu_đáo với khách_hàng xin chân_thành cảm_ơn công_ty Chudu24 và khách_sạn Hội_An trails resort and spa,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Gia_đình chúng_tôi đã có thời_gian lưu_trú tại đây rất tốt_đẹp Lúc đầu phòng của chúng_tôi nằm ở tầng 3 của toà nhà chính phong rất ok tuy_nhiên qua một đêm vì có nhiều tiếng ồn nên chúng_tôi đã đề_nghị được đổi phòng khác lúc đầu chúng_tôi nhận được thông_báo là sẽ phát_sinh thêm chi_phí do phải đổi phòng nhưng sau khi trao_đổi lại với tiếp_tân chúng_tôi thật_sự hài_lòng vì sẽ không có chi_phí phát_sinh nào cả Phóng khá rộng_rãi và thoải_mái Hồ bơi ở khu nghỉ_mát đẹp chúng_tôi rất thích Nhân_viên thân_thiện và nhiệt_tình Có chuyện xe_buýt thường_xuyên chở du_khách đến đô_thị cổ có nhiều nơi để mua_sắm bên cạnh đó còn có xe_đạp để du_khách đi dạo_mát,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1
Gia_đình tôi ở đây 2 ngày đặt quà Mytour ở Đà_Nẵng nữa Nói_chung kì nghỉ diễn ra tốt_đẹp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khách_sạn rất tốt không vấn_đề gì nhưng phải đi ra biển bằng xe_đạp hơi xa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hội_An Trails khu nghỉ_mát rất tốt Với đầy_đủ tiện_nghi phong tốt hồ bơi và dịch_vụ xe tuyệt_vời của xe_buýt nhỏ vào thành_phố hoặc bãi biển Nhân_viên rất thân_thiện nhiệt_tình Các cửa_hàng lân_cận giá_cả rất tốt chúng_tôi hoàn_toàn hài_lòng Thậm_chí thuê chiếc xe_máy giá_trị tuyệt_vời vi_vu ngắm cảnh Hồ bơi to dép sạch_sẽ khiến chúng_tôi an_tâm khi vui_chơi cùng gia_đình ở đó Gia_đình tôi quyết_định sẽ đến đây thêm lầm nữa,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Phòng_ốc rộng_rãi sạch_sẽ và thoải_mái có đầy_đủ tiện_nghi vì_vậy bạn có_thể yêu_cầu với khách_sạn Inter trong phòng và ở khu_vực công_cộng được sử_dụng miễn_phí Nếu_như bạn có latop riêng thì nhân_viên sẽ vui_vẻ cung_cấp cáp để kết_nối với modem Khu hồ bơi tuyệt đẹp cạnh đó có quầy bar Tôi chưa hài_lòng về bữa điểm_tâm sáng hy_vọng sẽ có nhiều trái_cây hơn Dịch_vụ đưa_đón miễn_phí tại khách_sạn hằng giờ luôn sẵn_sàng đưa bạn vào trung_tâm thành_phố Đến đó ít_nhất phải mất 10 phút và mỗi chuyến đi chỉ có 9 chỗ ngồi Cách khác hơn hay yêu_cầu khách_sạn gọi cho bạn 1 chiếc taxi Nghỉ tại Trails_Hội_An được cái_là không quá xa mọi thứ biên mua_sắm nhà hang cửa_hàng bánh của Pháp cửa_hàng đồ lưu_niệm và thợ_máy may quần_soóc chỉ trong 24 giờ tất_cả chỉ trong khoảng 10 phút lái_xe,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
Nhân_viên khách_sạn nhiệt_tình,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Phòng tuy nhỏ nhưng sạch_sẽ và tiện_nghi Nhân_viên nhiệt_tình chu_đáo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1
Ăn sáng tương_đối tốt Tiện_lợi,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nhân_viên phục_vụ ăn sáng không nín nở có_vẻ phân_biệt khách tây với khách việt_nam khách_sạn sạch_sẽ gần biển nhân_viên lễ_tân rất tốt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sự chậm_trễ nhận phòng Nhân_viên rất lịch_sự và thân_thiện,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wifi yếu Nhân_viên tận_tình giá_cả rẻ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vị_trí trung_tâm nhân_viên thân_thiện,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gần biển Sẽ quay lại,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thân_thiện gần quảng_trường chợ đêm Không như mong_muốn Phòng khách_sạn toàn kiến ngũ kiên bỏ hết lên giường nên người Phóng quá chặt Nói_chung là lần sau sẽ không quay lại,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1
Khách_sạn đẹp sạch_sẽ gần trung_tâm Vị_trí khá thuận_lợi để đi xung quang chỉ cần bước vài bước là đến biển Đường Tôn_Đản này nhỏ như con hẻm nhưng có khá nhiều khách_sạn đẹp trong hẻm có nhiều nơi cho thuê xe_máy với giá 80 k ngày và đồ_ăn cũng khá Nhân_viên ân_cần Khách_sạn kế bên cũng đã xây xong nên không còn ồn_ào đâu nha,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nhiệt_tình thân_thiện Khá thoải_mái,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sạch_sẽ thái_độ phục_vụ tốt thức_ăn sáng khá ổn với mức giá thấp nhưng thái_độ phục_vụ khá tốt chất_lượng phóng khá ổn môi sạch_sẽ tiện_nghi đầy_đủ thì lựa_chọn khách_sạn sun city là lựa_chọn tuyệt vời khách sạn rất nhiệt_tình chu_đáo về mọi mặt lần đầu_tiên phát_biểu ý_kiến về một nơi đến vì khách_sạn quá tốt so với giá hy vọng khách_sạn luôn giữ được thái_độ phục_vụ và chất_lượng như hiện_nay sẽ quay lại khách_sạn lần tôi,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Nhân_viên nhiệt_tình phòng_ốc sạch_sẽ gần bãi biển Tất_cả đều rất tuyệt chừ có_vẻ có nhiều muối đối_với gia_đình có con_nhỏ thì hơi lo_lắng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
phòng sạch thiết_kế hiện_đại Gần cổng trường nên hơi ồn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
Nhân_viên thân thiện Phóng sạch_sẽ và có thiết_kế hiện_đại Nhìn_chung dịch_vụ của khách_sạn rất tốt cùng với mức giá hợp lý Hiện tại khách_sạn bên cạnh đang xây lên khá ổn,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Gần biển sạch_sẽ già_cả Ô Khách_sạn nhỏ nhưng sạch Bữa sáng khá đắt không nên ăn sáng ở đây nếu bạn muốn có nhiều sự lựa_chọn và giá rẻ hơn Nhân_viên Ô cũng nhiệt_tình nhưng hãy chỉ_dẫn đi theo tour trong khi chúng_tôi thích đi tự_do hơn Xe_máy cho thuê giá rẻ Internet tạm ổn Nói_chung với giá_cả như_vậy thì cũng hợp_lý,0,0,0,0,0,1,3,0,2,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sách rẻ phục_vụ tốt Khách_sạn sạch_sẽ giá_cả hợp_lý gần trung_tâm tôi được upgrade lên phòng cao_cấp hơn nhưng không tính phí Dịch_vụ hợp_lý,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
gần biển sạch đẹp ksan giá tốt nhân_viên nhiệt_tình gần biển phòng sách,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mới sạch_sẽ vị_trí gần biển,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gần biển dịch_vụ đầy_đủ giá_cả hợp_lý khách_sạn sạch_sẽ trung_tâm gần biển nhân_viên nhiệt_tình,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gần biển gần khu trung_tâm mua_sắm và gần các quán Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sách già ok nvien thân_thiện khách_sạn nhỏ nhưng phòng sạch_sẽ nhân_viên thân thiện sẽ trở_lại vào 1 dịp gần đây,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nhờ Khách_sạn Sun_City_Nha_Trang mà tôi có chuyến du_lịch vui_vẻ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khách_sạn Sun_City_Nha_Trang nhân_viên lễ_tân phục_vụ chưa được chuyên_nghiệp Mặc_dù đóng_cửa phòng những hơi thuốc_lá từ phòng khác vẫn bay vào,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Ăn sáng tại Khách_sạn Sun_City_Nha_Trang không được ngon ít thức_ăn,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khách_sạn Sun_City_Nha_Trang sạch_đẹp gần biển Nhân_viên phục_vụ nhiệt_tình,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vị_trí của Khách_sạn Sun_City_Nha_Trang mặc_dù năm trong hẻm nhưng để tìm và ở vị_trí thuận_tiện cho đi_lại các nơi khá tốt Nhân_viên lễ_tân nhiệt_tình Nhân_viên phục_vụ điểm_tâm ở tầng 12 cũng dễ_thương Bữa ăn sáng thì không có điểm gì để khen Thực_đơn 75 là bánh_mì và trứng Chế_biến không được hợp_khẩu vị không hấp_dẫn Mình thuê phòng standard không có view nhưng mình rất hài_lòng về phòng vì với giá 340k như_vậy là ok với mình nói thật bình_thường phòng nhỏ nhưng bố_trí hái hoa nhìn đẹp_mắt,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1
Ăn sáng tệ phong được nhưng không đủ người làm vệ_sinh khách ra ngoài không dọn khách đang ngủ gọi dọn phòng tự_dưng dắt 2 đêm một phòng 2 đêm 2 giường đơn khách đến bảo chỉ cho ở 1 đêm 2 giường đêm sau phải dời sang phòng 1 giường phòng tắm thiết_kế không hợp_lý nước nóng lạnh không ổn_định,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,2
Khách_sạn khá gần biển thuận_tiện đi_lại phòng_ốc đẹp Ăn sáng hơi ít món Giá phòng hợp_lý Nhân_viên thân_thiện và nhiệt_tình gia_đình chúng_tôi hài_lòng với Sự_City_Nha_Trang,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Khách_sạn Sun_City_Nha_Trang thành_phố Nha_Trang mới sạch_sẽ Tuy_nhiên phong không quạt hút quạt_máy nên có đi chơi về mệt thì cảm_thấy ngột_ngạt trong phòng,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Tôi rất hài_lòng khi em Thuỷ của Chudu24 giới_thiệu cho tôi khách_sạn Sun_City_Nha_Trang thành_phố Nha_Trang Tôi ở phòng 2 giường giá chỉ có 550 ngàn đêm Phóng rất sạch gần biển Thức ăn thì đơn_giản nhưng là ăn sáng nên chấp_nhận được Cảm_ơn Chudu24 và các bàn khách_sạn Sun_City_Nha_Trang,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Đánh_giá Khách_sạn Sun_City_Nha_Trang Khách_sạn tuy 2 sao nhưng rất sạch_sẽ Nhân_viên vui_vẻ thân thiện Tuy nhiên trong thời_gian này kế bên khách_sạn đang có công_trường xây_dựng nên khá ồn_ào,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vợ_chồng tôi ở Khách_sạn Sun_City_Nha_Trang 2 ngày 05 06 04 2014 đánh_giá chung là nhân_viên phục_vụ tốt chú đáo nhưng tôi đặt phòng dulex thì đánh_giá chất_lượng phòng chưa tốt không tương_xứng với giá phòng là 750k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
Khách_sạn nhỏ trong hẻm nhưng sạch_sẽ gần biển không_khí gia_đình giá_cả rất hợp_lý,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vừa_rồi tôi có dịp nghỉ_mát ở Nha_Trang và tôi chọn khách_sạn Sun_City_Nha_Trang của Chudu24 vì tôi đặt phòng superior twin và có cửa_sổ nhưng khi đến thì khách_sạn hết phòng này và chuyển cho tôi phòng deluxe tuy hơi nhỏ nhưng phòng có cửa_sổ thoáng nhìn ra biển rất đẹp nội_thất phòng đều còn mới sạch_sẽ nhân_viên thân_thiện kể_cả nhân_viên dọn phòng nói_chung là rất hài_lòng Nếu có dịp quay lại Nha_Trang tôi cũng sẽ chọn khách_sạn này,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1
Khách_sạn sạch_sẽ và sang_trọng Ngay trung_tâm TP Nha_Trang ở gần biển và bến_xe trung_chuyển ra sân_bay do_đó chỉ cần đi 10 15 p là đến khách_sạn rồi Xung quanh bản_đồ ăn nhiều giá bình_dân Đặc_biệt là có chợ đêm bán đồ lưu niệm Nhân viên khách_sạn nhiệt_tình sẵn_sàng tư_vấn cho khách và hỗ_trợ các dịch_vụ tour tại Nha Trang Rất hài_lòng và hi_vọng lần sau sẽ ủng_hộ tiếp_tục tích_cực,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Khách_sạn rất ok phòng đẹp nhân_viên rất nhiệt_tình hướng_dẫn các địa_điểm ăn_uống và hỗ_trợ khách_hàng rất nhiệt_tình,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tốt Tôi rất hài_lòng lê tấn thân_thiện,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mình rất thích khách_sạn này vì gần trung_tâm quẹo ra con hẻm là có_thể đến mặt_biển đường Trần_Phú khách_sạn nằm ngay sau lưng khách_sạn Novotel còn nhân_viên khách_sạn thì rất nhiệt_tình và thân_thiện phòng sạch_sẽ thoáng mới Giá_cả hợp_lý Nếu có dịp lần sau mình sẽ ghé lại và giới_thiệu với bạn_bè,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Phòng deluxe nhỏ 901 so với quảng_cáo chắc_chắn không được 26m2 như quảng_cáo chỉ khoảng 14 m2 Dịch_vụ khách_sạn chậm chiều 17 10 có mưa nước mưa từ cửa thông nhỏ ngoài hành_lang do không đóng đã hắt nước vào hành_lang và chảy vào trong phòng mình nhưng mình gọi điện mấy lần vẫn không có người nên lau dọn Sau khi có người lên lầu dọn thì lấy luôn khăn lau để nhà_tắm của phòng mình ra lâu và không trả lãi báo hải_phòng mình không có khăn để lau chân trong 2 ngày liền Tầm nhìn bị hạn_chế vì bị khách_sạn Novotel chắn trước mặt Tôi 16 10 mình checkin khách_sạn muộn 7 h có nhờ lễ_tân đun cho 1 phích nước để pha sữa cho cháu nhỏ nhưng gọi ít_nhất 4 lần mất gần 2 h vẫn không thấy nước mang lên Sau mình cáu quá gọi mãi thì khoảng hơn 9h tối mới thấy mang cho bình nước dù pha 1 cốc sữa cho cháu và uống 1 cốc nước thì hết sạch Không hiểu nổi Lễ_tân không lịch_sự hỏi thì trả_lời vòng_vo và linh_tinh Mặt lạnh_như_tiền Lúc mình trả phòng khách_sạn cũng không chào tạm_biệt một câu Chủ khách_sạn không thân_thiện với khách chỉ quan_tâm tới tiền thì phải Ăn sáng cực tệ Chỉ có món bún thực_tế là miền ngoài miền Bắc nấu với gà bò lèo_tèo Không_thể ăn nổi Không phục_vụ ăn trưa và tối Dọn phòng khách_sạn thái_độ với khách Nhà mình có trẻ nhỏ cháu chữa 2 tuổi ở nền cỏ làm đầy 1 vài giọt sữa và nước cam ra ga giường mình còn không phát_hiện ra mà dọn phòng kêu_ca là không được làm thế nếu không giặt không sạch_sẽ bát nhà mình đến tiền ga giường Hay thật cứ làm như nhà mình cố_ý đổ ra giường vậy Điều hoà phòng 901 mình ổ bị hỏng 1 bên quạt thổi chỉ mất 1 2 điều_hoà làm 3 đêm mình ở rất nóng Điều_hoà ngay trên đầu giường nên hơi bất_tiện với nhà có trẻ nhỏ Nói chung mình cũng không đòi_hỏi nhiều ở khách_sạn tầm 2 chỉ tự_nhủ bản_thân lần sau đã đi chơi thì không tiết_kiệm nữa mà phải ở tù 4 trở lên may_ra mới được phục_vụ ngon lành Lần sau trở_lại Nhà_Trắng sẽ không ở Sun city,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2
Khách_sạn sạch_sẽ nhưng nước ở bồn rửa mặt hơi yếu Nhân_viên nhiệt_tình thân_thiện,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Mình thấy giá hợp_lý phòng sạch_sẽ nhân_viên thân_thiện nhiệt_tình hỗ_trợ về thông_tin du_lịch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Khách_sạn sạch_đẹp gần trung_tâm tiện việc đi_lại phần lễ_tân cần khắc_phục lại việc trao_đổi thông_tin với nhau sau khi tôi ở một ngày thì có trao_đổi với lễ_tân trực đêm là thấy gì 12h ngày 14 tôi trả phòng tôi muốn giữ phóng lại tới 8h thì tính ra sao lễ_tân trả_lời là để em check lại sau khi check phòng xong trả_lời tôi là còn phòng và chấp_nhận trả thêm 1 ngày Nhưng sau đó buổi sáng ngay 14 07 2013 tôi có báo cho lễ_tân biết thì một cô nữ lại bảo tôi là không được Mong khách_sạn sớm khắc_phục tôi đã từng ở những khách_sạn như Hoa_Đào Golden_Summmer thì việc trên nhân_viên lễ_tân rất tốt hẹn năm sau gặp lại mong các bạn phục_vụ được tốt hơn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Có_lẽ vào mùa du_lịch nên giá khách_sạn khá cao so với mặt_bằng chung Tôi thuê phòng 550k nhưng so với chất_lượng chỉ bằng phòng 350k Hệ_thống nước nóng còn hạn_chế phải chờ rất lâu nước mới có_thể ấm lên một_chút Mọi thứ đều khác đều tốt nhân_viên vui_vẻ lịch_sự ân_cần,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1
Khách_sạn mới phòng_ốc sạch_sẽ nhân_viên thân_thiện nhiệt_tình cung_cấp thông_tin hữu_ích giá_cả hợp_lý nhân_viên nhà_hàng hoạt_bát và giới_thiệu món ăn hợp_lý theo khẩu_vị vùng miền đặc_biệt ăn_uống rẻ ngon và sạch_sẽ hơn bên ngoài nhà tôi chỉ phải trả thêm 20k cho mỗi món,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gia_đình Tôi đã trải qua kỳ nghỉ ở đây Cảm_nhận của Tôi là khách_sạn có tiện_nghi đầy_đủ sạch_sẽ thoáng mát Vị_trí cách biển đi bộ vài phút Gia_đình Tôi cảm_thấy hài_lòng khi chọn dịch_vụ này,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vị_trí khách_sạn ở trung_tâm nhưng tầm nhìn thì bị chặn bởi toà nhà phía trước nên không đẹp giá hơi cao so với chất_lượng phòng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Với cách phục_vụ tận_tình dễ_thương của nhân_viên phục_vụ Tôi cảm_thấy hài_lòng khi chọn dịch_vụ ở đây Phòng_ốc đầy_đủ tiện_nghi để Tôi sử_dụng Tuy_nhiên thức_ăn sáng hơi đơn_giản và hơi ít Nên cải_thiện vấn_đề này để khách có_thể thoải_mái hơn về khâu ẩm_thực của nhà_hàng khách_sạn,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Tôi rất hài_lòng về khách_sạn này với giá_cả hợp_lý phù_hợp với nhiều đối_tượng Phòng_ốc khang_trang sạch sẽ Tuy nhiên đường vào hơi nhỏ và chỗ để xe_hơi chật,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Đó thực_sự là khoảng thời_gian nghỉ_ngơi tuyệt_vời nhất của tôi trong năm nay Khách_sạn đẹp Phòng_ốc thiết_kế hiện_đại và ấm_cúng Nhân_viên rất nhiệt_tình thân_thiện Tôi thấy vô_cùng hài_lòng,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Tôi rất hài_lòng về khách_sạn nhân_viên phục_vụ khá nhiệt_tình phòng_ốc cũng như chất_lượng phù_hợp với giá tiền mình bỏ ra Vị_trí Khách_sạn ngay trung_tâm tiến chở tôi đi_lại và di_chuyển,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Khách_sạn rất đẹp tôi hoàn_toàn hài_lòng với tất_cả mọi dịch_vụ ở đây từ chất_lượng phòng cho đến cách phục_vụ của nhân_viên đều tốt giá_cả lại hợp_lý không có điểm nào đáng để phàn_nàn trong thời_gian tôi nghỉ_ngơi ở đây,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Khách_sạn có đầy_đủ tiện_nghi nhân_viên nhiệt_tình Dịch_vụ khá đầy_đủ vị_trí cũng khá tốt rất hài_lòng,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Địa_điểm thuận_tiện gần biển để đi_lại phòng ôn ăn sáng ngon dịch_vụ khách_sạn được,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Khách_sạn Sun_City_Nha_Trang phòng_ốc sạch_sẽ tiếp_tân niềm_nở vui_vẻ Có chỗ đậu xe_hơi là điểm mạnh của nơi đây so với các khách_sạn khác trên đường Tôn_Đản,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Khách_sạn Sun_City_Nha_Trang mới sạch sẻ Nhân_viên thân_thiện dịch_vụ chu_đáo đầy_đủ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
